Variant,Year,Trades,Wins,Losses,Win Rate %,Gross Return %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Candidate Source
T1_30D,2019,22,10,12,45.45454545454545,2.757747257123764,1.873045301373688,0.11311823674464193,0.11311823674464193,1.2075427074696194,-4.809431411135712,111722.53754000619,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2020,17,8,9,47.05882352941176,3.2931758410472147,3.589886521933927,0.22773710773688224,0.22773710773688224,1.3721831036243959,-5.051052324524252,115733.24985711745,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2021,35,15,20,42.857142857142854,7.2303029459567085,5.108461426065269,0.23988886022655734,0.23988886022655734,1.3940300885589187,-7.394367366931398,121645.43828320004,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2022,29,4,25,13.793103448275861,-10.683135968317199,-10.809503186914993,-0.6821402431555947,-0.6821402431555947,0.2866516954842223,-13.013071793630992,108496.17075524082,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2023,28,14,14,50.0,7.23276916211078,5.106054381633807,0.4030479315265399,0.4030479315265399,1.8493325759207055,-3.8520375076752766,114036.0442359937,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2024,20,9,11,45.0,4.002783168390877,2.7509441268593227,0.1485124553065999,0.1485124553065999,1.415027502440611,-2.9516102466289107,117173.11209740647,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2025,18,5,13,27.77777777777778,-2.3151164825180093,-2.4936285332882835,-0.28205061595114667,-0.28205061595114667,0.6108480631053423,-4.412514006891244,114251.24994080368,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2026,7,2,5,28.57142857142857,-1.1357048734962767,-1.748216332379604,-0.3052585801813076,-0.3052585801813076,0.5663070974130059,-2.7459497391670307,112253.8909293907,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2011,0,0,0,0.0,0.0,0.0,,,,0.0,100000.0,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2012,22,9,13,40.909090909090914,-1.180439577365573,-2.013044645219997,-0.10555349075716526,-0.10555349075716526,0.8286614900543527,-6.609758970918711,97986.95535478,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2013,23,9,14,39.130434782608695,1.8172931705397224,0.931157662307891,0.09507160758543012,0.09507160758543012,1.082520241208696,-4.759028470595372,98899.36839762825,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2014,34,20,14,58.82352941176471,16.73920213172704,14.954807592149733,0.5954678285336857,0.5954678285336857,2.331039189828844,-2.4398274231785755,113689.57865134488,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2015,21,3,18,14.285714285714285,-8.478825132356576,-8.897319708546448,-0.5960392601406752,-0.5960392601406752,0.31319801614195597,-8.917097045756673,103574.25336343536,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2016,17,7,10,41.17647058823529,1.7464189128181498,1.0572715331121918,0.09640069849720614,0.09640069849720614,1.134057912107806,-5.9587887257911865,104669.31445988046,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2017,20,10,10,50.0,6.192107821668957,5.54569811353367,0.38272841415049463,0.38272841415049463,1.7296227404383637,-4.305131055322631,110473.95865733067,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2018,24,9,15,37.5,0.048837127521533547,-1.0530899024395857,-0.04426468189963323,-0.04426468189963323,0.9200393666383888,-5.445327718282544,109310.56855388504,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2019,22,9,13,40.909090909090914,2.076833451959869,1.1924160190672106,0.06998010947597745,0.06998010947597745,1.1242884460619726,-5.508026700257195,110614.00528385502,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2020,17,8,9,47.05882352941176,3.4224226866075624,3.702615592838421,0.22773710773688224,0.22773710773688224,1.3936567783109999,-4.978232750008327,114709.61669135815,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2021,35,16,19,45.714285714285715,10.104488895978262,7.9813659052410335,0.3443519713173695,0.3443519713173695,1.580010978070433,-7.425321345361469,123865.01092799488,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2022,29,4,25,13.793103448275861,-10.694842605816463,-10.802106749394834,-0.6821402431555947,-0.6821402431555947,0.2838776097825986,-12.999744510659983,110484.98022240329,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2023,28,14,14,50.0,6.88118011504468,4.7121111600660015,0.3710723701360507,0.3710723701360507,1.6716813644983515,-4.1010422823158805,115691.15530565986,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2024,20,9,11,45.0,4.652667277339039,3.404173733618565,0.18493126274725968,0.18493126274725968,1.5055992493304478,-2.620309257292619,119629.483226695,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2025,17,5,12,29.411764705882355,-2.1843568040537704,-2.1662935245254866,-0.28190817211842145,-0.28190817211842145,0.6258448041167799,-4.325778630540366,117037.9574781318,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_45D,2026,8,2,6,25.0,-1.3016256333594907,-2.111891914036501,-0.3141258667165624,-0.3141258667165624,0.5330734946981341,-3.272015871431988,114566.24231779765,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2011,0,0,0,0.0,0.0,0.0,,,,0.0,100000.0,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
