Date,Variant,Cash,Open Position Value,Total Equity,Peak Equity,Drawdown %,Number Open Positions,Daily Return %,Candidate Source,Survivorship Bias Warning
2014-10-01,T2_30D,117789.61226787613,0.0,117789.61226787613,117789.61226787613,0.0,0,0.5977397213919877,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-07,T2_30D,90315.92337051718,27742.186157226562,118058.10952774374,118058.10952774374,0.0,1,0.22794646717827494,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-08,T2_30D,61755.01907262598,56466.993408203125,118222.01248082911,118222.01248082911,0.0,2,0.1388324391615514,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-09,T2_30D,37699.75413711906,80698.31918334961,118398.07332046867,118398.07332046867,0.0,3,0.1489239067623771,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-10,T2_30D,4802.238778458435,113179.26550102234,117981.50427948078,118398.07332046867,-0.35183768561871664,5,-0.35183768561871664,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-13,T2_30D,78483.73698226719,39286.593463897705,117770.3304461649,118398.07332046867,-0.5301968661302947,2,-0.17898893102400448,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-14,T2_30D,57273.35209456959,60933.96772193909,118207.31981650868,118398.07332046867,-0.1611120000607369,3,0.3710521730628358,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-15,T2_30D,57273.35209456959,60933.96772193909,118207.31981650868,118398.07332046867,-0.1611120000607369,3,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-16,T2_30D,57273.35209456959,60514.08927154541,117787.441366115,118398.07332046867,-0.5157448404594089,3,-0.3552051184693483,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-17,T2_30D,57273.35209456959,60178.425968170166,117451.77806273976,118398.07332046867,-0.7992488654503416,3,-0.28497376246752193,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-20,T2_30D,60528.92065279654,57131.61435317993,117660.53500597648,118398.07332046867,-0.6229310104530983,3,0.17773842736139578,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-21,T2_30D,60528.92065279654,57872.574657440186,118401.49531023673,118401.49531023673,0.0,3,0.6297441229742962,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-22,T2_30D,60528.92065279654,58752.218618392944,119281.13927118949,119281.13927118949,0.0,3,0.7429331518558069,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-27,T2_30D,60528.92065279654,57544.91542625427,118073.83607905082,119281.13927118949,-1.0121492798570886,3,-1.0121492798570886,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-28,T2_30D,60528.92065279654,57580.343547821045,118109.26420061759,119281.13927118949,-0.9824479190357227,3,0.030005056787563156,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
