Variant,Ticker,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Candidate Source,Survivorship Bias Warning
T1_30D,SBIN.NS,22,5,17,22.727272727272727,-1.2942412037896533,-3.328096422750335,-0.3943061990404498,-1.0381697846860312,0.5490454582248889,-0.3943061990404498,7.136363636363637,5,-6350.020397583059,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,SUNPHARMA.NS,14,2,12,14.285714285714285,-2.138169611960169,-2.6084157715821656,-0.5556333455112622,-1.032347615805958,0.19767332700599377,-0.5556333455112622,14.5,8,-6077.421848425578,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,TCS.NS,17,4,13,23.52941176470588,-1.0820422031055315,-2.8803351180245107,-0.3756683823110524,-1.0436015149304738,0.4796447180698162,-0.3756683823110524,7.176470588235294,6,-5421.0450542033495,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,TITAN.NS,21,10,11,47.61904761904761,1.728088957592857,-0.23436498079531398,0.3406679536318651,-0.034047603693049926,1.6556119724509737,0.3406679536318651,12.714285714285714,3,5304.534969177975,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,TMPV.NS,7,1,6,14.285714285714285,-2.9662873120801114,-4.654615398493882,-0.6437740463051759,-1.0322604104656046,0.258995696188841,-0.6437740463051759,4.714285714285714,5,-3766.4678544352237,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,WIPRO.NS,15,9,6,60.0,1.8105282081016771,4.50044231544778,0.5434508915257009,1.4402544496582417,2.2518134449474014,0.5434508915257009,14.733333333333333,3,6012.118901971806,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,AXISBANK.NS,23,8,15,34.78260869565217,-0.026910929271969298,-3.175304982450079,-0.00015286145389953562,-1.033864773540937,0.9956096292289017,-0.00015286145389953562,9.08695652173913,3,-54.63013604381746,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,BEL.NS,9,4,5,44.44444444444444,0.6213533652556154,-3.9187890780832944,0.2082704232761442,-1.021944575123879,1.309088305271002,0.2082704232761442,6.666666666666667,4,1355.8624379208015,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,CIPLA.NS,16,6,10,37.5,0.4158682866663159,-3.3648560595559696,0.07966955109441082,-1.0319623220130603,1.077730924910694,0.07966955109441082,9.875,4,639.2430599013101,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,HAL.NS,9,4,5,44.44444444444444,-0.2521471258946491,-3.8523161937033534,0.12307348182863224,-1.0220814797663538,1.0136903358910576,0.12307348182863224,7.666666666666667,3,58.6450579961986,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,HCLTECH.NS,21,9,12,42.857142857142854,0.26217910473527806,-2.3940736114019274,0.06759776385097223,-1.0272824899789927,1.2712346962079497,0.06759776385097223,7.809523809523809,4,2451.5375261564695,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,HDFCBANK.NS,20,9,11,45.0,0.25321473868210476,-0.8887487338933959,0.13539559889850764,-0.6977588731573368,1.3170992612045198,0.13539559889850764,17.55,5,2403.391434952193,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,HINDUNILVR.NS,16,8,8,50.0,1.9062310865234458,-0.22502673404520568,0.35436253735092693,0.09840450041611393,1.5163201581502217,0.35436253735092693,12.8125,3,3393.6182943791646,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,ICICIBANK.NS,27,6,21,22.22222222222222,-1.4276628876074997,-3.47909661361507,-0.49085377490706045,-1.039880774502431,0.43858929402609786,-0.49085377490706045,10.037037037037036,14,-9850.026258220445,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,INFY.NS,25,16,9,64.0,2.938577105635293,5.289848749442555,0.6615568052004285,1.5606720398177756,2.516329258356655,0.6615568052004285,15.48,3,13579.774929258512,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,ITC.NS,16,6,10,37.5,0.12199303546753304,-2.9097590742657413,0.06222290583856192,-1.03292470138939,1.0679874284759918,0.06222290583856192,11.6875,2,573.9449715929575,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,LT.NS,22,7,15,31.818181818181817,-0.36775397206140376,-3.0410302022240945,-0.08893457224661606,-1.0366687887915815,0.9058504181431146,-0.08893457224661606,10.454545454545455,6,-1072.8327170809423,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,M&M.NS,18,9,9,50.0,2.053885475955165,1.9786872117042533,0.5671712926759453,0.5635482442901971,2.1381431308674705,0.5671712926759453,13.055555555555555,3,7870.7663232736095,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,MARUTI.NS,19,9,10,47.368421052631575,0.4640943239933548,-2.6531745667331497,0.2320669311926756,-1.0273305342812804,1.300753985016813,0.2320669311926756,12.473684210526315,5,2214.4298775185853,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,SBIN.NS,22,5,17,22.727272727272727,-1.2942412037896533,-3.3280964227503356,-0.3943061990404498,-1.0381697846860312,0.5458729046731016,-0.3943061990404498,7.136363636363637,5,-6453.065440922857,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,SUNPHARMA.NS,14,4,10,28.57142857142857,-1.3635652349732026,-2.918082033173955,-0.38402391258980667,-1.0359314193130458,0.5006201717200169,-0.38402391258980667,18.571428571428573,4,-3993.8506937292923,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,TCS.NS,17,4,13,23.52941176470588,-1.0820422031055315,-2.8803351180245107,-0.3756683823110524,-1.0436015149304738,0.47405054412244346,-0.3756683823110524,7.176470588235294,6,-5479.324983441825,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,TITAN.NS,21,10,11,47.61904761904761,1.4046518917537616,-2.0902990073021583,0.2936803149498295,-1.0155351727681565,1.534696708572702,0.2936803149498295,12.904761904761905,3,4675.366718850577,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,TMPV.NS,7,1,6,14.285714285714285,-2.966287312080112,-4.654615398493882,-0.643774046305176,-1.0322604104656046,0.25224259865522175,-0.643774046305176,4.714285714285714,5,-3743.2613363390524,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,WIPRO.NS,15,9,6,60.0,2.0624990912052312,5.010156360125263,0.5381272764192652,1.4402544496582417,2.1221101456485383,0.5381272764192652,16.333333333333332,2,5996.653251775558,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,AXISBANK.NS,23,8,15,34.78260869565217,-0.1169845952286527,-3.175304982450079,-0.009326731246871792,-1.033864773540937,0.9861304373458722,-0.009326731246871792,9.130434782608695,3,-175.27519058418972,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,BEL.NS,9,4,5,44.44444444444444,0.6213533652556157,-3.918789078083295,0.2082704232761442,-1.021944575123879,1.3082995440325704,0.2082704232761442,6.666666666666667,4,1359.4913551180678,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,CIPLA.NS,16,6,10,37.5,0.4158682866663159,-3.3648560595559696,0.07966955109441082,-1.0319623220130603,1.0806805302777807,0.07966955109441082,9.875,4,663.5000047726603,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,HAL.NS,9,4,5,44.44444444444444,-0.25214712589464894,-3.8523161937033534,0.12307348182863224,-1.0220814797663538,0.9619836707172631,0.12307348182863224,7.666666666666667,3,-171.6030897493854,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,HCLTECH.NS,21,9,12,42.857142857142854,0.26217910473527806,-2.3940736114019274,0.06759776385097223,-1.0272824899789927,1.2797935855878313,0.06759776385097223,7.809523809523809,4,2538.595007595188,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,HDFCBANK.NS,19,8,11,42.10526315789473,0.16916904095006266,-2.202567213197986,0.13732839860767568,-1.0193208738513269,1.286485452694722,0.13732839860767568,18.894736842105264,7,2241.3254380093917,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,HINDUNILVR.NS,16,8,8,50.0,2.0094831407772755,-0.22502673404520568,0.36529247559921885,0.18584400640244947,1.5685839043319862,0.36529247559921885,12.875,3,3737.1322989662613,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,ICICIBANK.NS,27,6,21,22.22222222222222,-1.3867993255101227,-3.47909661361507,-0.48461081403370804,-1.039880774502431,0.4519755835834259,-0.48461081403370804,10.703703703703704,14,-9661.333020801352,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
