Ticker,Signal Date,Signal_New,Setup_New,Market Regime_New,Technical Score_New,Actionability Score_New,Entry Low_New,Entry High_New,Stop Loss_New,Target 1_New,Target 2_New,R:R T1_New,Signal_Ref,Setup_Ref,Market Regime_Ref,Technical Score_Ref,Actionability Score_Ref,Entry Low_Ref,Entry High_Ref,Stop Loss_Ref,Target 1_Ref,Target 2_Ref,R:R T1_Ref,_merge,Candidate Source,Survivorship Bias Warning
TCS.NS,2014-05-15,AVOID,PULLBACK,STRONG BULL,54.0,20.0,799.0057,812.1124,770.6464,838.3478,851.3078,0.6327,AVOID,PULLBACK,STRONG BULL,54.0,20.0,799.0057,812.1122,770.6461,838.3477,851.3082,0.6327,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-06-13,AVOID,PULLBACK,STRONG BULL,54.0,20.0,794.3635,810.7257,761.9412,842.6542,881.5085,0.6545,AVOID,PULLBACK,STRONG BULL,54.0,20.0,794.3636,810.7257,761.9412,842.6542,881.5089,0.6545,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-06-18,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,65.0,20.0,796.7577,813.1636,761.9412,858.7297,881.5085,0.8896,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,65.0,20.0,796.7577,813.1636,761.9412,858.7299,881.5089,0.8896,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-06-23,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,64.0,35.0,804.9921,821.2944,786.736,859.4774,881.5085,1.1049,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,64.0,35.0,804.9921,821.2944,786.7361,859.4776,881.5089,1.1049,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-06-27,WATCH,BREAKOUT,STRONG BULL,65.0,48.0,878.1095,891.2811,822.074,995.0918,1064.2989,1.5,WAIT FOR BETTER ENTRY,BREAKOUT,STRONG BULL,65.0,27.0,878.1093,891.2809,822.0741,995.0912,1064.2981,1.5,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-09,WATCH,PULLBACK,STRONG BULL,74.0,84.0,865.8168,882.8199,850.9391,933.8733,962.5219,1.6014,WATCH,PULLBACK,STRONG BULL,74.0,84.0,865.8168,882.8199,850.9391,933.8735,962.522,1.6014,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-10,WATCH,PULLBACK,STRONG BULL,69.0,86.0,867.6597,879.2164,846.2241,933.8733,961.6971,1.6567,WATCH,PULLBACK,STRONG BULL,69.0,86.0,867.6598,879.2169,846.2246,933.8735,961.6976,1.6566,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-11,WAIT FOR BETTER ENTRY,PULLBACK,BULL,69.0,35.0,871.048,888.6303,854.5147,933.8733,973.9195,1.3262,WAIT FOR BETTER ENTRY,PULLBACK,BULL,69.0,35.0,871.048,888.6304,854.5147,933.8735,973.9194,1.3262,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-14,WAIT FOR BETTER ENTRY,PULLBACK,BULL,69.0,35.0,874.0271,891.5019,854.5147,933.8733,983.9699,1.1456,WAIT FOR BETTER ENTRY,PULLBACK,BULL,69.0,35.0,874.0272,891.5019,854.5147,933.8735,983.9698,1.1456,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-15,WAIT FOR BETTER ENTRY,PULLBACK,BULL,69.0,35.0,876.4968,893.4978,854.5147,933.8733,990.9555,1.0357,WAIT FOR BETTER ENTRY,PULLBACK,BULL,69.0,35.0,876.4969,893.4978,854.5147,933.8735,990.9555,1.0357,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-16,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,69.0,20.0,879.9746,896.5549,854.5147,933.8733,1001.6553,0.8877,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,69.0,20.0,879.9747,896.5549,854.5147,933.8735,1001.6552,0.8877,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-17,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,71.0,35.0,881.961,890.4883,854.5147,933.8733,980.4223,1.206,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,71.0,35.0,881.961,890.4877,854.5147,933.8735,980.42,1.2061,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-18,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,71.0,20.0,884.2334,901.8181,854.5147,933.8733,1020.0765,0.6777,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,71.0,20.0,884.2334,901.8181,854.5147,933.8735,1020.0764,0.6777,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
