Dataset,Era,Feature,Rows,Available Rows,Mean,Std,Min,Median,Max
signal_state,2016-2020,Target 1,22583,4282,976.654535661,1477.15983213,29.7221,572.3093,10247.0769
signal_state,2016-2020,Target 2,22583,4282,1031.82854916,1544.73662213,33.9472,617.5145,11254.0569
signal_state,2016-2020,Technical Score,22583,22583,49.0661116769,23.0935131312,0,50,90
signal_state,2016-2020,Volume Ratio,22583,22583,1.0246859806,0.664447378397,0.0202,0.871,15.2691
signal_state,2016-2020,Weekly RSI,22583,22583,53.2452446531,12.4670863576,13.2,53.34,88.96
signal_state,2021-2023,20 DMA,14079,14079,1437.66271859,1752.67786024,35.5651,869.9293,10235.9205
signal_state,2021-2023,200 DMA,14079,14079,1337.71182916,1660.71592111,27.6597,809.7978,9369.8121
signal_state,2021-2023,50 DMA,14079,14079,1420.95936427,1736.51608763,32.1466,863.317,10186.3948
signal_state,2021-2023,ADX,14079,14079,24.8876312238,9.78076570925,7.22,22.85,70.96
signal_state,2021-2023,Actionability Score,14079,14079,15.1196817956,22.5676633085,0,9,97
signal_state,2021-2023,Daily RSI,14079,14079,54.3237680233,12.1468110096,16.79,54.04,91.79
signal_state,2021-2023,Distance 20DMA %,14079,14079,0.998265750408,4.15301563423,-18.7085,0.8404,45.7761
signal_state,2021-2023,Distance 50DMA %,14079,14079,2.58417164571,6.7447834451,-19.3271,2.0792,60.2608
signal_state,2021-2023,Distance To Support %,14079,3222,1.60310315241,1.14362806741,0.00302438892512,1.37303578586,5.97757900153
signal_state,2021-2023,Distance To T1 %,14079,3604,4.92844118396,3.68691853279,-5.04439002281,3.86768922461,28.6792552044
signal_state,2021-2023,Distance To T2 %,14079,3604,11.0186690276,6.21027700307,2.14955627753,9.34127684791,53.8774446462
signal_state,2021-2023,Entry High,14079,3604,1391.30625755,1791.37925545,38.2354,853.5569,10274.2656
signal_state,2021-2023,Entry Low,14079,3604,1369.30454159,1764.52898771,37.6703,839.59385,10153.9311
