Experiment ID,Variant,Year,Trades,Wins,Losses,Win Rate %,Gross Return %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Net PnL,Negative Expectancy Flag,Profit Factor Below One Flag,Negative Return Flag,Config SHA-256,Data Manifest SHA-256
S221_20110830_20260828_e210057f2894,T1_30D,2016,17,7,10,41.17647058823529,1.0765503884406993,0.5433886247214303,0.05803073704645349,0.05803073704645349,1.0694317176996722,-5.934039946483461,106062.04203474111,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,573.2142903152173,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2017,21,11,10,52.38095238095239,5.24145293583856,4.655742922193173,0.30971218874785233,0.30971218874785233,1.5732856882883672,-3.4262124632747804,111000.01804990711,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,4798.022268200182,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2018,24,9,15,37.5,0.4471666923862536,-0.5143766306929254,-0.004990343724106366,-0.004990343724106366,0.9666742225146159,-5.446019393517232,110429.05989699347,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-431.0044059478422,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2019,22,10,12,45.45454545454545,2.8809057635088884,1.816753417936523,0.12722486717124984,0.12722486717124984,1.2420159910288262,-4.777312523432231,112435.28361706727,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,2388.678413750641,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2020,19,8,11,42.10526315789473,3.028514256260368,3.768143879340413,0.20394286129418998,0.20394286129418998,1.312474878286822,-5.705031527321802,116672.00687490283,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,2870.3820027227484,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2021,35,15,20,42.857142857142854,7.270693198902602,5.400918390154685,0.2523697744510447,0.2523697744510447,1.4141686855340685,-7.513677743529968,122973.366750372,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,7285.24643690502,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2022,29,4,25,13.793103448275861,-10.731303980260758,-10.691904386789307,-0.6782667777430785,-0.6782667777430785,0.28954440737813103,-12.895566237565259,109825.17195620648,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-14409.744620975674,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2023,28,14,14,50.0,7.102642129295105,5.190613244627218,0.41667224250912144,0.41667224250912144,1.871981964448536,-3.8551697657793094,115525.77187769995,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,6772.328505104691,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2024,20,9,11,45.0,4.183931584738296,3.0445203767675233,0.1624092951014411,0.1624092951014411,1.4608250380608536,-2.859487562029772,119042.97754293449,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,3978.7278296284476,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2025,16,4,12,25.0,-2.6990770202263126,-2.7111467176461512,-0.3178623449797541,-0.3178623449797541,0.5519661581089418,-3.803753118180364,115815.54776469097,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-3879.486557569686,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
