Policy,Year,Start Equity (Prior Session),End Equity,Return %,First Session,Last Session
D5_RESISTANCE_TIGHTEN,2023,108344.23234396895,113001.87121030167,4.298926454659591,2023-01-02,2023-12-29
D5_RESISTANCE_TIGHTEN,2024,113001.87121030167,115192.67498611331,1.9387322991620604,2024-01-01,2024-12-31
D5_RESISTANCE_TIGHTEN,2025,115192.67498611331,115382.07042711602,0.16441621919582872,2025-01-01,2025-12-31
D5_RESISTANCE_TIGHTEN,2026,115382.07042711602,114128.78865780312,-1.0862014909886475,2026-01-01,2026-08-28
D6_HYBRID_DYNAMIC,2016,100000.0,100363.80185027048,0.3638018502704732,2016-01-01,2016-12-30
D6_HYBRID_DYNAMIC,2017,100363.80185027048,100424.28104535904,0.060259968209241954,2017-01-02,2017-12-29
D6_HYBRID_DYNAMIC,2018,100424.28104535904,100814.81668950658,0.3888856759364234,2018-01-01,2018-12-31
D6_HYBRID_DYNAMIC,2019,100814.81668950658,105493.65281728924,4.641020319654721,2019-01-01,2019-12-31
D6_HYBRID_DYNAMIC,2020,105493.65281728924,106160.06050037542,0.6317040554471687,2020-01-01,2020-12-31
D6_HYBRID_DYNAMIC,2021,106160.06050037542,116482.08441989684,9.723076523194818,2021-01-01,2021-12-31
D6_HYBRID_DYNAMIC,2022,116482.08441989684,107877.39581806192,-7.387134806771289,2022-01-03,2022-12-30
D6_HYBRID_DYNAMIC,2023,107877.39581806192,112603.04991715257,4.380578584841444,2023-01-02,2023-12-29
D6_HYBRID_DYNAMIC,2024,112603.04991715257,115419.38941765152,2.501121863547273,2024-01-01,2024-12-31
D6_HYBRID_DYNAMIC,2025,115419.38941765152,113571.03629824627,-1.6014234079136158,2025-01-01,2025-12-31
D6_HYBRID_DYNAMIC,2026,113571.03629824627,112424.67855400706,-1.0093750850602379,2026-01-01,2026-08-28
T1_10D,2016,100000.0,101587.50345893168,1.5875034589316828,2016-01-01,2016-12-30
T1_10D,2017,101587.50345893168,102020.22618145533,0.4259605835264857,2017-01-02,2017-12-29
T1_10D,2018,102020.22618145533,100528.12837031062,-1.4625509734617181,2018-01-01,2018-12-31
T1_10D,2019,100528.12837031062,103952.15080096111,3.4060341977496966,2019-01-01,2019-12-31
T1_10D,2020,103952.15080096111,106806.28725479645,2.7456252052929564,2020-01-01,2020-12-31
T1_10D,2021,106806.28725479645,116007.15815974755,8.61454053074755,2021-01-01,2021-12-31
T1_10D,2022,116007.15815974755,108920.13850259331,-6.10912272102645,2022-01-03,2022-12-30
T1_10D,2023,108920.13850259331,114649.2523197436,5.259921531419898,2023-01-02,2023-12-29
T1_10D,2024,114649.2523197436,114832.2575137976,0.1596217946050027,2024-01-01,2024-12-31
T1_10D,2025,114832.2575137976,113301.89807162448,-1.3326912448701322,2025-01-01,2025-12-31
T1_10D,2026,113301.89807162448,111851.72334523531,-1.2799209466662576,2026-01-01,2026-08-28
T1_20D,2016,100000.0,100097.23444631134,0.09723444631133393,2016-01-01,2016-12-30
T1_20D,2017,100097.23444631134,102856.04966336154,2.756135304147622,2017-01-02,2017-12-29
T1_20D,2018,102856.04966336154,101712.72606789763,-1.1115764208385448,2018-01-01,2018-12-31
T1_20D,2019,101712.72606789763,102507.23277927902,0.7811281263379266,2019-01-01,2019-12-31
T1_20D,2020,102507.23277927902,106040.91538404321,3.4472519733051543,2020-01-01,2020-12-31
T1_20D,2021,106040.91538404321,111376.20997433274,5.031354709610869,2021-01-01,2021-12-31
T1_20D,2022,111376.20997433274,100551.05288889713,-9.719451836195836,2022-01-03,2022-12-30
T1_20D,2023,100551.05288889713,104718.52175237579,4.144629761444141,2023-01-02,2023-12-29
T1_20D,2024,104718.52175237579,104959.60254243572,0.23021790799340192,2024-01-01,2024-12-31
T1_20D,2025,104959.60254243572,103638.85298278437,-1.2583408546324892,2025-01-01,2025-12-31
T1_20D,2026,103638.85298278437,102264.14012945401,-1.3264454533848613,2026-01-01,2026-08-28
T1_30D,2016,100000.0,100549.48109622946,0.5494810962294538,2016-01-01,2016-12-30
T1_30D,2017,100549.48109622946,105271.83688213766,4.6965491362295,2017-01-02,2017-12-29
T1_30D,2018,105271.83688213766,104733.30219853006,-0.5115657706348808,2018-01-01,2018-12-31
T1_30D,2019,104733.30219853006,106593.5753436714,1.7762002210290673,2019-01-01,2019-12-31
T1_30D,2020,106593.5753436714,110594.4997756949,3.75343862810118,2020-01-01,2020-12-31
T1_30D,2021,110594.4997756949,116693.039691176,5.514324788167602,2021-01-01,2021-12-31
T1_30D,2022,116693.039691176,104511.34337375333,-10.439094182190377,2022-01-03,2022-12-30
T1_30D,2023,104511.34337375333,110095.51174952538,5.343121804302098,2023-01-02,2023-12-29
T1_30D,2024,110095.51174952538,113464.86555633348,3.0603916120337304,2024-01-01,2024-12-31
T1_30D,2025,113464.86555633348,110677.03007002018,-2.457003295816873,2025-01-01,2025-12-31
T1_30D,2026,110677.03007002018,109595.54529254179,-0.9771537750824955,2026-01-01,2026-08-28
T1_45D,2016,100000.0,101210.70078319238,1.2107007831923866,2016-01-01,2016-12-30
T1_45D,2017,101210.70078319238,105060.7440665343,3.803988366397393,2017-01-02,2017-12-29
T1_45D,2018,105060.7440665343,104060.29556969943,-0.9522571972280125,2018-01-01,2018-12-31
T1_45D,2019,104060.29556969943,105245.71911664717,1.1391698826703323,2019-01-01,2019-12-31
T1_45D,2020,105245.71911664717,109011.43927699872,3.578026918299515,2020-01-01,2020-12-31
T1_45D,2021,109011.43927699872,117828.07817264045,8.087810741805356,2021-01-01,2021-12-31
T1_45D,2022,117828.07817264045,105468.72860477795,-10.489307607778953,2022-01-03,2022-12-30
T1_45D,2023,105468.72860477795,110594.0991765598,4.859611602021019,2023-01-02,2023-12-29
T1_45D,2024,110594.0991765598,114552.01834395976,3.578779696990231,2024-01-01,2024-12-31
T1_45D,2025,114552.01834395976,111596.10448763892,-2.5804118504880957,2025-01-01,2025-12-31
T1_45D,2026,111596.10448763892,108687.86480727937,-2.606040500886553,2026-01-01,2026-08-28
T1_63D,2016,100000.0,101210.70078319238,1.2107007831923866,2016-01-01,2016-12-30
T1_63D,2017,101210.70078319238,104506.33428684503,3.2562105371766625,2017-01-02,2017-12-29
T1_63D,2018,104506.33428684503,104341.33826829097,-0.1578813568383186,2018-01-01,2018-12-31
T1_63D,2019,104341.33826829097,105338.55455047912,0.9557250258991568,2019-01-01,2019-12-31
T1_63D,2020,105338.55455047912,109154.80255130632,3.6228406751095177,2020-01-01,2020-12-31
T1_63D,2021,109154.80255130632,117967.70540937007,8.073765562373136,2021-01-01,2021-12-31
T1_63D,2022,117967.70540937007,105545.99318458707,-10.529756581835114,2022-01-03,2022-12-30
T1_63D,2023,105545.99318458707,111380.06262746226,5.527513898772174,2023-01-02,2023-12-29
T1_63D,2024,111380.06262746226,115488.4343753676,3.6886060673594567,2024-01-01,2024-12-31
T1_63D,2025,115488.4343753676,112696.17841335083,-2.4177797344980823,2025-01-01,2025-12-31
T1_63D,2026,112696.17841335083,109120.89084382381,-3.1725011618525922,2026-01-01,2026-08-28
T2_10D,2016,100000.0,99772.62373380741,-0.22737626619259155,2016-01-01,2016-12-30
T2_10D,2017,99772.62373380741,101221.46050331931,1.452138588013252,2017-01-02,2017-12-29
T2_10D,2018,101221.46050331931,101040.60976665994,-0.17866837305062777,2018-01-01,2018-12-31
T2_10D,2019,101040.60976665994,102914.95105079592,1.8550375818836784,2019-01-01,2019-12-31
T2_10D,2020,102914.95105079592,105474.54840870456,2.4870996213614216,2020-01-01,2020-12-31
T2_10D,2021,105474.54840870456,116409.49212584729,10.367376663013328,2021-01-01,2021-12-31
T2_10D,2022,116409.49212584729,109178.43137343896,-6.211744953402098,2022-01-03,2022-12-30
T2_10D,2023,109178.43137343896,118247.68368950686,8.306816833672027,2023-01-02,2023-12-29
T2_10D,2024,118247.68368950686,118293.516429934,0.038759947761413116,2024-01-01,2024-12-31
T2_10D,2025,118293.516429934,117796.15206043866,-0.4204493910618723,2025-01-01,2025-12-31
T2_10D,2026,117796.15206043866,115699.38520388668,-1.7799960523975145,2026-01-01,2026-08-28
T2_20D,2016,100000.0,99531.50790817977,-0.46849209182022733,2016-01-01,2016-12-30
T2_20D,2017,99531.50790817977,104105.55165841736,4.595573649358609,2017-01-02,2017-12-29
T2_20D,2018,104105.55165841736,106381.89188414201,2.186569485932499,2018-01-01,2018-12-31
T2_20D,2019,106381.89188414201,105867.17890841306,-0.48383514018486284,2019-01-01,2019-12-31
T2_20D,2020,105867.17890841306,110104.2296685962,4.002232612478207,2020-01-01,2020-12-31
T2_20D,2021,110104.2296685962,119733.69713336098,8.745774339231648,2021-01-01,2021-12-31
T2_20D,2022,119733.69713336098,108665.39415901325,-9.244100231883523,2022-01-03,2022-12-30
T2_20D,2023,108665.39415901325,114192.45327917955,5.086310285755191,2023-01-02,2023-12-29
T2_20D,2024,114192.45327917955,117409.94908809126,2.817608096259683,2024-01-01,2024-12-31
T2_20D,2025,117409.94908809126,116098.21212493657,-1.1172281168187137,2025-01-01,2025-12-31
T2_20D,2026,116098.21212493657,114051.3039934779,-1.7630832499435423,2026-01-01,2026-08-28
