Mode,Target,Model Variant,Feature Set,Bucket,Rows,Mean Predicted Probability,Observed Success Rate,Calibration Error
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,342,0.154980703595,0.25730994152,0.102329237926
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,283,0.243793356848,0.208480565371,0.0353127914772
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,92,0.335554736422,0.173913043478,0.161641692944
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,4,0.424912432346,0.25,0.174912432346
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,0,,,
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,0,,,
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,0,,,
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,0,,,
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.2-0.3,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.3-0.4,570,0.382161694161,0.39298245614,0.0108207619794
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.4-0.5,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.5-0.6,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.7-0.8,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,131,0.0388919953352,0.320610687023,0.281718691688
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,94,0.147695613566,0.436170212766,0.2884745992
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,59,0.247962160144,0.338983050847,0.0910208907037
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,52,0.349977419656,0.269230769231,0.0807466504255
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,45,0.459502768472,0.288888888889,0.170613879583
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,46,0.548223798098,0.413043478261,0.135180319837
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,41,0.649959387068,0.414634146341,0.235325240727
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,38,0.752546967902,0.552631578947,0.199915388955
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,26,0.856661276714,0.5,0.356661276714
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,38,0.955789545185,0.631578947368,0.324210597817
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,132,0.0417635926288,0.325757575758,0.283993983129
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.1-0.2,89,0.141239505202,0.415730337079,0.274490831876
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.2-0.3,70,0.244342669726,0.328571428571,0.0842287588452
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.3-0.4,47,0.345063163463,0.297872340426,0.0471908230376
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.4-0.5,42,0.449732855035,0.404761904762,0.0449709502726
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.5-0.6,46,0.551357082424,0.391304347826,0.160052734598
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.6-0.7,48,0.655304099398,0.395833333333,0.259470766064
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.7-0.8,35,0.755467044108,0.571428571429,0.18403847268
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.8-0.9,26,0.84460024161,0.423076923077,0.421523318533
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.9-1.0,35,0.958098934676,0.628571428571,0.329527506105
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.0-0.1,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.1-0.2,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.2-0.3,38,0.278429297338,0.368421052632,0.0899917552931
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.3-0.4,334,0.36326644522,0.38622754491,0.0229610996901
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.4-0.5,197,0.424805287039,0.41116751269,0.0136377743482
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.5-0.6,1,0.573544811136,0,0.573544811136
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.6-0.7,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.7-0.8,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.8-0.9,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.9-1.0,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,0,,,
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,47,0.156852999268,0.489361702128,0.332508702859
