Mode,Target,Model Variant,Metric,Point Value,Identity Bootstrap Value,Absolute Difference,Absolute Tolerance,Status
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Bottom 20% Rows,150,150,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Bottom 20% Success Rate,0.186666666667,0.186666666667,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Bottom 20% Lift,0.621666666667,0.621666666667,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Rows,746,746,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Positive Count,224,224,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Prevalence,0.300268096515,0.300268096515,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,ROC AUC,0.568058976464,0.568058976464,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Average Precision,0.36248651957,0.36248651957,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Brier Score,0.238854984904,0.238854984904,2.77555756156e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Brier Benchmark Score,0.2109965173,0.2109965173,8.32667268469e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Brier Skill Score vs Training Prior,-0.132032831448,-0.132032831448,4.4408920985e-16,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Log Loss,0.766038309374,0.766038309374,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Accuracy at 0.50,0.674262734584,0.674262734584,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Precision at 0.50,0.418803418803,0.418803418803,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Recall at 0.50,0.21875,0.21875,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Specificity at 0.50,0.869731800766,0.869731800766,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,F1 at 0.50,0.287390029326,0.287390029326,5.55111512313e-17,1e-14,PASS
