Mode,Target,Model Variant,Feature Set,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
TRANSFER,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,322,250,0.776397515528,0.8095,0.926185236253,0.125714454597,0.173774650318,0.276566205902,0.404549583463,0.832298136646,0.831081081081,0.984,0.305555555556,0.901098901099
TRANSFER,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2021_2023,298,228,0.765100671141,0.781453634085,0.908143756982,0.146007676118,0.17989344139,0.188365762585,0.457289034936,0.788590604027,0.869955156951,0.850877192982,0.585714285714,0.860310421286
TRANSFER,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.760294117647,0.884899280722,0.162628168121,0.189405534077,0.141375837232,0.500205734639,0.753731343284,0.825242718447,0.85,0.470588235294,0.837438423645
TRANSFER,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,322,250,0.776397515528,0.619027777778,0.847550905447,0.170335346199,0.173774650318,0.0197917481768,0.522288438026,0.776397515528,0.776397515528,1,0,0.874125874126
TRANSFER,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2021_2023,298,228,0.765100671141,0.618233082707,0.837195181743,0.173850165815,0.17989344139,0.033593640368,0.530445815899,0.775167785235,0.772881355932,1,0.0428571428571,0.87189292543
TRANSFER,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,134,100,0.746268656716,0.595441176471,0.814538283921,0.18558357684,0.189405534077,0.0201786988779,0.55748146937,0.753731343284,0.751879699248,1,0.0294117647059,0.858369098712
TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,250,0.776397515528,0.822444444444,0.929060081536,0.135104557951,0.173774650318,0.222530111819,0.427958987641,0.801242236025,0.798076923077,0.996,0.125,0.886120996441
TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,298,228,0.765100671141,0.794235588972,0.905154156145,0.138938096501,0.17989344139,0.227664469434,0.445192360068,0.818791946309,0.817518248175,0.982456140351,0.285714285714,0.892430278884
TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.707352941176,0.860408660953,0.168839517765,0.189405534077,0.108581918753,0.514434865204,0.753731343284,0.768,0.96,0.147058823529,0.853333333333
TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,ERA_2016_2020,319,98,0.307210031348,0.430210545757,0.279813096518,0.232798120478,0.232798120478,0,0.658618357335,0.692789968652,0,0,1,0
TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,ERA_2021_2023,296,89,0.300675675676,0.546029419747,0.332292286975,0.227866033317,0.227866033317,1.11022302463e-16,0.648636626861,0.699324324324,0,0,1,0
TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,RECENT_2024_2026,131,37,0.282442748092,0.531627372053,0.301603788574,0.222398643893,0.222398643893,0,0.637548511661,0.717557251908,0,0,1,0
TRANSFER,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,98,0.307210031348,0.533567273063,0.325763601232,0.231608249399,0.232798120478,0.00511117132963,0.676086788425,0.673981191223,0.3125,0.0510204081633,0.950226244344,0.0877192982456
