Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed,Training Mode
ENTRY_FILLED,2024,RF_FULL,FS3_FULL_SIGNAL_STATE,953,739,214,0.775445960126,48,97,109,1.3196511,0.0374663000002,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2025,DUMMY_PRIOR,NONE,1002,780,222,0.778443113772,68,0,0,4.00003045797e-07,8.99999940884e-06,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2025,LOGIT_RULE,FS1_RULE_SUMMARY,1002,780,222,0.778443113772,68,5,8,0.0162801000006,0.00681310000073,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2025,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,1002,780,222,0.778443113772,68,92,101,0.0557445999984,0.00948360000257,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2025,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,1002,780,222,0.778443113772,68,97,109,0.0599129000002,0.00986700000067,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2025,RF_FULL,FS3_FULL_SIGNAL_STATE,1002,780,222,0.778443113772,68,97,109,1.5047446,0.0403898999975,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2026,DUMMY_PRIOR,NONE,1069,822,247,0.768942937325,18,0,0,3.99999407819e-07,1.01000005088e-05,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2026,LOGIT_RULE,FS1_RULE_SUMMARY,1069,822,247,0.768942937325,18,5,8,0.0179272000023,0.00704269999915,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2026,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,1069,822,247,0.768942937325,18,92,101,0.0617325000021,0.00903299999845,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2026,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,1069,822,247,0.768942937325,18,97,109,0.0656517999996,0.0102585000022,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
