Mode,Target,Model Variant,Feature Set,Scope,Rows,Overall Success Rate,Top 10% Rows,Top 10% Success Rate,Top 10% Lift,Top 20% Rows,Top 20% Success Rate,Top 20% Lift,Bottom 20% Rows,Bottom 20% Success Rate,Bottom 20% Lift
TRANSFER,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,570,0.39298245614,57,0.421052631579,1.07142857143,114,0.421052631579,1.07142857143,114,0.359649122807,0.915178571429
TRANSFER,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,POOLED_2016_2026,570,0.29298245614,57,0.298245614035,1.01796407186,114,0.210526315789,0.718562874251,114,0.429824561404,1.46706586826
TRANSFER,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,570,0.29298245614,57,0.245614035088,0.838323353293,114,0.236842105263,0.808383233533,114,0.245614035088,0.838323353293
TRANSFER,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_2016_2026,570,0.29298245614,57,0.210526315789,0.718562874251,114,0.263157894737,0.898203592814,114,0.245614035088,0.838323353293
TRANSFER,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_2016_2026,570,0.29298245614,57,0.263157894737,0.898203592814,114,0.245614035088,0.838323353293,114,0.359649122807,1.22754491018
TRANSFER,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,570,0.29298245614,57,0.210526315789,0.718562874251,114,0.280701754386,0.958083832335,114,0.228070175439,0.778443113772
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2016_2020,322,0.776397515528,33,0.787878787879,1.01478787879,65,0.738461538462,0.951138461538,65,0.784615384615,1.01058461538
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,0.776397515528,33,1,1.288,65,0.969230769231,1.24836923077,65,0.476923076923,0.614276923077
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,322,0.776397515528,33,1,1.288,65,0.969230769231,1.24836923077,65,0.476923076923,0.614276923077
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,322,0.776397515528,33,0.757575757576,0.975757575758,65,0.8,1.0304,65,0.707692307692,0.911507692308
