Diagnostic,Feature,Era,Rows,Median,Q25,Q75,Mean,Std
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA200,2016-2020,22583,10492.5842627,8584.22324951,10919.7830029,9925.66967322,1287.37939922
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA200,2021-2023,14079,17013.032251,15370.5829834,17469.9447266,16325.0728165,1983.60879488
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA200,2024-2026,12483,24056.5709961,22524.4704492,24727.727041,23427.8598774,1693.81020224
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA50,2011-2015,18936,5959.35798828,5372.6532666,7984.77102051,6533.90100645,1278.50555878
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA50,2016-2020,22583,10475.1669922,8975.71898438,11211.925,10117.9866358,1367.39850754
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA50,2021-2023,14079,17465.5369141,16161.3720313,18020.5489453,17141.3470502,1579.03380904
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA50,2024-2026,12483,24110.5960547,23151.4401172,24984.5191797,23979.0449408,1293.32702519
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly RSI,2011-2015,18936,55.4529874894,47.8417816926,64.4565824255,55.750181123,10.5290653648
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly RSI,2016-2020,22583,58.9297016266,49.9193007088,65.4654501485,56.8780674123,11.926193139
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly RSI,2021-2023,14079,60.0741528962,52.1369666505,67.2862423352,59.7252790708,10.2026340109
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly RSI,2024-2026,12483,56.3760788515,48.0107086005,64.8580970866,56.2695138471,11.5978587934
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST,2011-2015,18936,5762.56073243,5489.1154854,7959.15650737,6447.04581656,1379.74515706
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST,2016-2020,22583,10463.9168474,8745.91627029,11062.0515629,10049.0899325,1320.8338
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST,2021-2023,14079,17239.8491017,16241.1292736,18362.7578091,16786.4783665,1800.73564
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST,2024-2026,12483,24209.4488104,22826.2566401,24826.9755732,23703.6225385,1607.4878527
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST Direction,2011-2015,18936,1,-1,1,0.359315589354,0.933240751913
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST Direction,2016-2020,22583,1,-1,1,0.188327502989,0.982128028353
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST Direction,2021-2023,14079,1,1,1,0.581646423752,0.813470613642
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Weekly ST Direction,2024-2026,12483,1,-1,1,0.254185692542,0.967194175329
DESCRIPTIVE DRIFT DIAGNOSTIC,Overextended,2011-2015,18936,0,0,1,0.304763413604,0.460319308017
DESCRIPTIVE DRIFT DIAGNOSTIC,Overextended,2016-2020,22583,0,0,1,0.284550325466,0.451209987646
DESCRIPTIVE DRIFT DIAGNOSTIC,Overextended,2021-2023,14079,0,0,1,0.30492222459,0.460390830238
DESCRIPTIVE DRIFT DIAGNOSTIC,Overextended,2024-2026,12483,0,0,0,0.22582712489,0.418142608522
DESCRIPTIVE DRIFT DIAGNOSTIC,Price,2011-2015,18936,279.5756,156.881975,485.176075,413.700199958,506.79296401
DESCRIPTIVE DRIFT DIAGNOSTIC,Price,2016-2020,22583,465.6319,260.61475,759.7881,846.941260333,1388.43990843
DESCRIPTIVE DRIFT DIAGNOSTIC,Price,2021-2023,14079,876.7538,531.49615,1641.6032,1448.54223089,1762.4115357
