Target,Model Variant,Feature Set,Scope Type,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2025,687,281,0.409024745269,0.605749171678,0.482809701615,0.237013380238,0.241902931444,0.0202128646263,0.666966802878,0.595342066958,0.510948905109,0.249110320285,0.834975369458,0.334928229665
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2026,260,101,0.388461538462,0.604987857276,0.473484530052,0.236643551548,0.23869290903,0.00858574932161,0.669126957729,0.623076923077,0.538461538462,0.207920792079,0.88679245283,0.3
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2016,525,224,0.426666666667,0.802874347413,0.756789405972,0.195541962126,0.244728324861,0.200983530464,0.573534560585,0.697142857143,0.815533980583,0.375,0.936877076412,0.51376146789
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2017,1214,672,0.553542009885,0.633769328765,0.652198790697,0.351890211965,0.26152861493,-0.345513232111,0.951367564192,0.455518945634,0.761904761905,0.0238095238095,0.990774907749,0.046176046176
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2018,789,291,0.368821292776,0.699202307512,0.555593747261,0.216530988325,0.241473613543,0.103293377904,0.623029621881,0.651457541191,0.523255813953,0.618556701031,0.670682730924,0.566929133858
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2019,732,246,0.33606557377,0.620537655994,0.445443285883,0.217426606692,0.235682545959,0.0774598695586,0.627754733688,0.653005464481,0.471014492754,0.264227642276,0.849794238683,0.338541666667
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2020,760,360,0.473684210526,0.625576388889,0.61662427321,0.255110272806,0.250542766675,-0.0182304450105,0.711149533317,0.577631578947,0.69696969697,0.191666666667,0.925,0.300653594771
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2021,1407,572,0.406538734897,0.590892341192,0.458290054838,0.258372761423,0.242347013554,-0.0661272760661,0.716645294374,0.593461265103,0,0,1,0
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2022,895,277,0.309497206704,0.672146086713,0.447239368359,0.202596532557,0.22962486281,0.11770646228,0.592153805122,0.687150837989,0.489932885906,0.263537906137,0.877022653722,0.342723004695
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2023,1024,423,0.4130859375,0.68736109636,0.5784843357,0.24264659839,0.242594435205,-0.000215022184344,0.679383600391,0.595703125,0.909090909091,0.0236406619385,0.998336106489,0.0460829493088
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2024,1149,468,0.407310704961,0.59120260552,0.458622834252,0.240754208569,0.241706578587,0.00394019071944,0.674670924226,0.577893820714,0.417475728155,0.0918803418803,0.911894273128,0.15061295972
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2025,687,281,0.409024745269,0.645714636327,0.501547298189,0.22858909761,0.241902931444,0.0550379185336,0.647514345296,0.593886462882,0.510204081633,0.17793594306,0.881773399015,0.263852242744
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2026,260,101,0.388461538462,0.624509620773,0.50482858014,0.228063022203,0.23869290903,0.0445337352909,0.647490770667,0.615384615385,0.538461538462,0.0693069306931,0.962264150943,0.122807017544
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2016,525,99,0.188571428571,0.5,0.188571428571,0.159543935919,0.159543935919,-4.4408920985e-16,0.50201702437,0.811428571429,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2017,1214,447,0.368204283361,0.5,0.368204283361,0.24495069892,0.24495069892,0,0.687832924597,0.631795716639,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2018,789,163,0.206590621039,0.5,0.206590621039,0.16919641626,0.16919641626,0,0.523364189152,0.793409378961,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2019,732,110,0.150273224044,0.5,0.150273224044,0.142569144009,0.142569144009,0,0.465550924531,0.849726775956,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2020,760,278,0.365789473684,0.5,0.365789473684,0.242621423045,0.242621423045,0,0.68226527624,0.634210526316,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2021,1407,384,0.272921108742,0.5,0.272921108742,0.198478401382,0.198478401382,0,0.586252673556,0.727078891258,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2022,895,131,0.146368715084,0.5,0.146368715084,0.140424412634,0.140424412634,0,0.460786095639,0.853631284916,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2023,1024,254,0.248046875,0.5,0.248046875,0.186703156125,0.186703156125,0,0.560659766005,0.751953125,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2024,1149,261,0.227154046997,0.5,0.227154046997,0.176545642202,0.176545642202,0,0.538471220537,0.772845953003,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2025,687,127,0.184861717613,0.5,0.184861717613,0.155869936185,0.155869936185,0,0.493254876357,0.815138282387,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,EVALUATION_YEAR,2026,255,52,0.203921568627,0.5,0.203921568627,0.164798704243,0.164798704243,0,0.512609685257,0.796078431373,0,0,1,0
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2016,525,99,0.188571428571,0.508441219709,0.2547346065,0.175393606736,0.159543935919,-0.0993436116893,0.570778084793,0.792380952381,0.386363636364,0.171717171717,0.93661971831,0.237762237762
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2017,1214,447,0.368204283361,0.636665120797,0.508718147707,0.250511337991,0.24495069892,-0.0227010541138,0.739797593638,0.644975288303,0.766666666667,0.0514541387025,0.990873533246,0.0964360587002
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2018,789,163,0.206590621039,0.640800486093,0.289891578903,0.166601555549,0.16919641626,0.0153363810426,0.507558615758,0.765525982256,0.310344827586,0.110429447853,0.936102236422,0.162895927602
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2019,732,110,0.150273224044,0.694855305466,0.335512221479,0.127384254166,0.142569144009,0.106508950084,0.414674618253,0.849726775956,0.5,0.136363636364,0.975884244373,0.214285714286
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2020,760,278,0.365789473684,0.57967402012,0.423302649756,0.279599312232,0.242621423045,-0.152409827305,0.934594592686,0.627631578947,0.333333333333,0.0179856115108,0.979253112033,0.0341296928328
