Target,Model Variant,Feature Set,Scope,Bucket,Rows,Success Rate,Overall Base Rate,Lift
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2021-2023,BOTTOM_20_PERCENT,494,0.34008097166,0.311714633158,1.09100098451
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,247,0.404858299595,0.311714633158,1.29881069584
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,494,0.368421052632,0.311714633158,1.18191773321
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,494,0.214574898785,0.311714633158,0.688369668795
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,247,0.396761133603,0.311714633158,1.27283448192
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,494,0.346153846154,0.311714633158,1.11048314494
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,494,0.206477732794,0.311714633158,0.662393454879
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,TOP_10_PERCENT,247,0.327935222672,0.311714633158,1.05203666363
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,TOP_20_PERCENT,494,0.372469635628,0.311714633158,1.19490584017
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,BOTTOM_20_PERCENT,494,0.263157894737,0.311714633158,0.844226952296
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,247,0.449392712551,0.311714633158,1.44167987238
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,494,0.35020242915,0.311714633158,1.1234712519
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,494,0.267206477733,0.311714633158,0.857215059255
ENTRY_FILLED,DUMMY_PRIOR,NONE,2024-2026,TOP_10_PERCENT,215,0.753488372093,0.760372960373,0.990945774457
