Start Equity,End Equity,Return %,CAGR %,Trades,Win Rate %,Expectancy R,Profit Factor,Average Exposure %,Max Drawdown %,Policy,Year,Return >= R0
109945.428575,124816.892757,13.5262233046,13.5756927093,36,36.1111111111,0.522071456311,2.81223098556,16.9983644596,-3.11290662791,R4_K2,2021,False
124816.892757,114292.350667,-8.43198533247,-8.52689662605,37,10.8108108108,-0.409741374331,0.195907733098,8.72891014565,-10.618927853,R4_K2,2022,False
114292.350667,118574.167279,3.74637198934,3.79130325313,30,33.3333333333,0.218065324436,1.71238051175,14.7814099868,-3.13441587281,R4_K2,2023,True
118574.167279,122567.953433,3.36817558674,3.37052100533,26,23.0769230769,0.118464732342,1.6157483395,10.2979438234,-1.86090708462,R4_K2,2024,False
122567.953433,121845.001202,-0.589837890524,-0.591857426729,18,16.6666666667,-0.0411668952388,0.880638138477,8.94097859871,-2.42265786229,R4_K2,2025,True
121845.001202,119848.375308,-1.63866049013,-2.49340418168,10,10,-0.267370979404,0.179945421199,4.70924045065,-2.67054516922,R4_K2,2026 partial,False
100000,99419.7229313,-0.580277068735,-0.582263965761,15,26.6666666667,-0.0610398550061,0.884455868872,6.98845232515,-4.05652338695,R5_K1,2016,
99419.7229313,102938.189515,3.53900260387,3.58140414322,25,20,0.12547349569,1.34702920238,8.7462663377,-2.35862281761,R5_K1,2017,
102938.189515,105290.796883,2.28545632977,2.2933940559,22,27.2727272727,0.202415748471,1.51745848809,8.48679901365,-3.98442475472,R5_K1,2018,
105290.796883,109900.509344,4.37807728521,4.3934374342,26,38.4615384615,0.265386864051,2.16491582563,13.5593705348,-2.89790452928,R5_K1,2019,
109900.509344,106297.137069,-3.27875848532,-3.28096696005,21,19.0476190476,-0.238193085268,0.525848138212,7.2367535247,-4.8760665793,R5_K1,2020,
106297.137069,121559.586326,14.3582881709,14.4109892474,32,37.5,0.609387933406,3.16448124169,16.1914193509,-3.13386916833,R5_K1,2021,
121559.586326,111913.688284,-7.93511917364,-8.02468599347,33,9.09090909091,-0.445010680983,0.202820773886,7.66117465878,-10.2071684244,R5_K1,2022,
111913.688284,114492.087401,2.30391756,2.33135500318,27,29.6296296296,0.162515086688,1.50178991818,12.8504300924,-3.02083735935,R5_K1,2023,
114492.087401,118826.202123,3.78551463285,3.78815595266,23,26.0869565217,0.184209071457,1.74961812668,9.35701998261,-1.85466491038,R5_K1,2024,
118826.202123,118222.635692,-0.507940521928,-0.509680370432,16,12.5,-0.0522010872309,0.897714519888,7.18179913795,-2.78345848334,R5_K1,2025,
118222.635692,116288.93716,-1.63564153379,-2.48883053896,10,10,-0.267370979404,0.177109881359,4.62839088684,-2.6431966664,R5_K1,2026 partial,
100000,100882.90422,0.882904220473,0.885949563138,16,31.25,0.10896611509,1.17443737851,7.90506916221,-4.0365856544,R5_K2,2016,
100882.90422,103884.985236,2.9758074861,3.01136354116,28,17.8571428571,0.081677047687,1.24504981594,9.43837647162,-2.35425942248,R5_K2,2017,
103884.985236,104938.763892,1.01437051134,1.01787159516,27,25.9259259259,0.0951813229262,1.26192846345,10.941026937,-5.03725594134,R5_K2,2018,
104938.763892,109212.641337,4.07273469456,4.08700272952,28,35.7142857143,0.226236377706,1.945451188,14.8690951531,-2.33289812242,R5_K2,2019,
109212.641337,108973.252516,-0.219195157469,-0.219345126363,23,26.0869565217,-0.0317092828768,0.927771239968,8.69377551389,-4.91741149485,R5_K2,2020,
108973.252516,123801.428164,13.6071699294,13.6569528035,36,36.1111111111,0.522071456311,2.83871821787,16.9006710235,-3.05060436201,R5_K2,2021,
123801.428164,115190.988404,-6.95504073522,-7.03397208427,38,13.1578947368,-0.327141497467,0.346099900723,9.98066383449,-9.18399563047,R5_K2,2022,
115190.988404,119400.044874,3.65398068704,3.69778424739,30,33.3333333333,0.218065324436,1.69216769132,14.852232262,-3.15892745778,R5_K2,2023,
119400.044874,123416.914818,3.36421141933,3.36655403278,26,23.0769230769,0.118464732342,1.61093924547,10.3067791058,-1.89739887433,R5_K2,2024,
123416.914818,122682.421546,-0.595131771803,-0.597169379145,18,16.6666666667,-0.0411668952388,0.877890978329,8.88279106045,-2.4154770022,R5_K2,2025,
122682.421546,120685.795652,-1.6274751254,-2.47645826458,10,10,-0.267370979404,0.179945421199,4.67710077001,-2.65250618609,R5_K2,2026 partial,
