Calibration Year,Cohort Level,Observations,T1 Successes,P(T1 Before Stop),T2 Successes,P(T2 Before Stop),Cohort
2024,2,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL
2024,2,10,5,0.5,4,0.4166666666666667,BREAKOUT|STRONG BULL
2024,2,131,53,0.40601503759398494,40,0.3082706766917293,PULLBACK|BULL
2024,2,238,62,0.2625,45,0.19166666666666668,PULLBACK|NEUTRAL
2024,2,343,157,0.4579710144927536,133,0.3884057971014493,PULLBACK|STRONG BULL
2024,3,15,7,0.47058823529411764,6,0.4117647058823529,BREAKOUT
2024,3,712,272,0.38235294117647056,218,0.3067226890756303,PULLBACK
2024,4,727,279,0.3840877914951989,224,0.30864197530864196,OVERALL
2025,1,2,0,0.25,0,0.25,BREAKOUT|BULL|70-79|80-89
2025,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2025,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL|70-79|70-79
2025,1,2,0,0.25,0,0.25,BREAKOUT|STRONG BULL|70-79|80-89
2025,1,3,2,0.6,1,0.4,BREAKOUT|STRONG BULL|70-79|90-100
2025,1,8,5,0.6,3,0.4,BREAKOUT|STRONG BULL|80-89|80-89
2025,1,18,6,0.35,6,0.35,PULLBACK|BULL|70-79|70-79
2025,1,67,28,0.42028985507246375,24,0.36231884057971014,PULLBACK|BULL|70-79|80-89
2025,1,29,12,0.41935483870967744,6,0.22580645161290322,PULLBACK|BULL|70-79|90-100
2025,1,2,1,0.5,0,0.25,PULLBACK|BULL|80-89|70-79
2025,1,8,4,0.5,3,0.4,PULLBACK|BULL|80-89|80-89
2025,1,11,3,0.3076923076923077,2,0.23076923076923078,PULLBACK|BULL|80-89|90-100
2025,1,39,4,0.12195121951219512,4,0.12195121951219512,PULLBACK|NEUTRAL|70-79|70-79
2025,1,137,44,0.3237410071942446,36,0.26618705035971224,PULLBACK|NEUTRAL|70-79|80-89
2025,1,30,8,0.28125,8,0.28125,PULLBACK|NEUTRAL|70-79|90-100
2025,1,39,12,0.3170731707317073,3,0.0975609756097561,PULLBACK|NEUTRAL|80-89|80-89
2025,1,9,0,0.09090909090909091,0,0.09090909090909091,PULLBACK|NEUTRAL|80-89|90-100
2025,1,13,6,0.4666666666666667,4,0.3333333333333333,PULLBACK|STRONG BULL|70-79|70-79
