Policy,Breakdown,Value,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days
D4_TREND_PROTECT,Ticker,HCLTECH.NS,15,26.666666666666668,1617.3950456288003,-411.48563866189033,0.033389582323372906,-0.28992560682420276,1.4293175695475329,7.333333333333333
D4_TREND_PROTECT,Ticker,HDFCBANK.NS,19,21.052631578947366,917.2575124291787,-220.93374355991668,0.07089104946499003,-0.23235424925061673,1.1071283153635254,8.210526315789474
D4_TREND_PROTECT,Ticker,HINDUNILVR.NS,14,21.428571428571427,841.1877808973119,-219.28512100343366,0.006772287373606638,-0.26769660539011214,1.0461943258431943,6.357142857142857
D4_TREND_PROTECT,Ticker,ICICIBANK.NS,22,13.636363636363635,811.5560437315968,-362.63002789463354,-0.3178118468415941,-0.34440535272440453,0.3533640848817221,4.636363636363637
D4_TREND_PROTECT,Ticker,INFY.NS,24,37.5,1116.7760264263839,-305.6972186890092,0.301122109338033,-0.08654668928129014,2.1919257843739133,8.083333333333334
D4_TREND_PROTECT,Ticker,ITC.NS,9,11.11111111111111,2062.1404374235194,-286.8354415735327,-0.0622427938759967,-0.22147008119434056,0.8986600584079462,4.111111111111111
D4_TREND_PROTECT,Ticker,LT.NS,19,31.57894736842105,969.1462328807928,-393.41158512636133,0.028928234681269867,-0.3003973550735287,1.1369727741645617,6.052631578947368
D4_TREND_PROTECT,Ticker,M&M.NS,13,38.46153846153847,1038.1920808331024,-367.0019625084785,0.23055078137610754,-0.35658795949902994,1.7680288303790712,5.6923076923076925
D4_TREND_PROTECT,Ticker,MARUTI.NS,17,17.647058823529413,1334.7475677173593,-212.40450629837076,0.07682583936754792,-0.24256189402207984,1.3465690578977514,6.352941176470588
D4_TREND_PROTECT,Ticker,SBIN.NS,25,12.0,1763.362422652418,-320.84250547973073,-0.10184982963489858,-0.38699926998020456,0.7494596509908696,4.64
D4_TREND_PROTECT,Ticker,SUNPHARMA.NS,10,20.0,333.94523090857916,-216.7488412512762,-0.14870230209218419,-0.2854027713276116,0.38517533586423836,7.0
D4_TREND_PROTECT,Ticker,TCS.NS,15,33.33333333333333,461.3610376981602,-277.46449465158196,-0.03135309034818717,-0.2821751483373662,0.8313875227125925,5.266666666666667
D4_TREND_PROTECT,Ticker,TITAN.NS,19,26.31578947368421,1138.2634571988276,-337.8554752118348,0.10804619069247201,-0.30323381170492014,1.2032442659998526,6.052631578947368
D4_TREND_PROTECT,Ticker,TMPV.NS,3,0.0,,-437.59729140034386,-0.5422679015442776,-0.38065155650611854,0.0,2.0
D4_TREND_PROTECT,Ticker,WIPRO.NS,9,33.33333333333333,842.5389111106424,-418.72178242586347,0.001653717906061848,-0.4325135386912039,1.0060844055322316,6.222222222222222
D5_RESISTANCE_TIGHTEN,Ticker,AXISBANK.NS,23,30.434782608695656,1423.0207236902631,-532.7978622277708,0.0767553709792836,-0.32627481557238736,1.1684948659729066,6.260869565217392
D5_RESISTANCE_TIGHTEN,Ticker,BEL.NS,9,22.22222222222222,1633.5570266292275,-515.7739113463615,-0.04072326784722399,-0.39771133667163777,0.9049131194297555,4.333333333333333
D5_RESISTANCE_TIGHTEN,Ticker,CIPLA.NS,10,40.0,1676.672058552768,-211.09432869603165,0.7152387424019568,-0.1920823772237069,5.295174812479579,8.4
D5_RESISTANCE_TIGHTEN,Ticker,HAL.NS,10,30.0,1221.2337863806881,-402.37112807344266,0.118376657268766,-0.2660916565511352,1.3007541345097096,4.3
D5_RESISTANCE_TIGHTEN,Ticker,HCLTECH.NS,15,26.666666666666668,1424.396906198704,-457.77603863606777,-0.07208346597343328,-0.5011125137885228,1.13147580395042,7.133333333333334
D5_RESISTANCE_TIGHTEN,Ticker,HDFCBANK.NS,19,21.052631578947366,903.394008632023,-236.2288059070349,0.04115527023007489,-0.2496283531850756,1.0197954819419643,8.052631578947368
D5_RESISTANCE_TIGHTEN,Ticker,HINDUNILVR.NS,14,21.428571428571427,937.2141805631669,-224.6439182251909,0.020672318581939512,-0.2869497379162048,1.1378178828330978,6.142857142857143
D5_RESISTANCE_TIGHTEN,Ticker,ICICIBANK.NS,22,13.636363636363635,1593.7492380333679,-378.6645462084254,-0.19679342250211576,-0.41116875863223823,0.6645581664597497,4.181818181818182
D5_RESISTANCE_TIGHTEN,Ticker,INFY.NS,25,36.0,1259.555136150299,-315.5348956073095,0.32995743485646256,-0.11029761124627117,2.2453927408595957,7.64
D5_RESISTANCE_TIGHTEN,Ticker,ITC.NS,9,11.11111111111111,2062.1404374235194,-285.53425005764564,-0.06224279387599671,-0.22147008119434058,0.902755289867678,4.111111111111111
D5_RESISTANCE_TIGHTEN,Ticker,LT.NS,19,31.57894736842105,1298.5066200064753,-397.29945426348274,0.22854051673950804,-0.3003973550735287,1.5084610393092632,6.842105263157895
D5_RESISTANCE_TIGHTEN,Ticker,M&M.NS,13,46.15384615384615,1183.2146358421612,-383.6245040005601,0.474259870534774,-0.13459854368422264,2.6436892403972054,6.0
D5_RESISTANCE_TIGHTEN,Ticker,MARUTI.NS,17,17.647058823529413,1284.572309942237,-215.29660955131527,0.05509356325075479,-0.24256189402207984,1.2785407794450825,5.176470588235294
D5_RESISTANCE_TIGHTEN,Ticker,SBIN.NS,25,12.0,1672.8959098783246,-343.4118486007288,-0.14582832048230784,-0.3886735115944662,0.6642815920835945,4.52
