Policy,Year,Start Equity,End Equity,Return %
T1_30D,2025,113577.84730682176,110677.03007002018,-2.5540343522846065
T1_30D,2026,111463.23132100879,109595.54529254179,-1.67560728890781
T1_45D,2016,100000.0,101210.70078319238,1.2107007831923866
T1_45D,2017,101210.70078319238,105060.7440665343,3.803988366397393
T1_45D,2018,104829.80324011829,104060.29556969943,-0.7340542924193616
T1_45D,2019,104060.29556969943,105245.71911664719,1.1391698826703323
T1_45D,2020,105312.33813520188,109011.43927699875,3.51250499922231
T1_45D,2021,108848.96552211593,117828.07817264053,8.249148356582413
T1_45D,2022,117828.07817264053,105468.728604778,-10.489307607778953
T1_45D,2023,105582.28713749285,110594.09917655986,4.74683033958192
T1_45D,2024,110740.6727849583,114552.01834395982,3.4416853926854785
T1_45D,2025,114665.0000944481,111596.10448763898,-2.6764013467765357
T1_45D,2026,112380.92829722134,108687.86480727943,-3.2862012673312457
T1_63D,2016,100000.0,101210.70078319238,1.2107007831923866
T1_63D,2017,101210.70078319238,104506.33428684503,3.2562105371766625
T1_63D,2018,104275.39346042901,104341.33826829097,0.06324100602601579
T1_63D,2019,104341.33826829097,105338.55455047912,0.9557250258991568
T1_63D,2020,105405.17356903381,109154.80255130632,3.5573481408070817
T1_63D,2021,108992.3287964235,117967.7054093701,8.23487002439489
T1_63D,2022,117967.7054093701,105545.9931845871,-10.529756581835104
T1_63D,2023,105659.55171730195,111380.06262746229,5.414097274864371
T1_63D,2024,111526.63623586073,115488.43437536762,3.552333570904387
T1_63D,2025,115601.4161258559,112696.17841335086,-2.513150625544325
T1_63D,2026,113480.95302859727,109120.89084382384,-3.8421092424864356
T2_10D,2016,100000.0,99772.62373380741,-0.22737626619259155
T2_10D,2017,99772.62373380741,101221.46050331931,1.452138588013252
T2_10D,2018,100970.82842909865,101040.60976665994,0.0691103942068727
T2_10D,2019,101040.60976665994,102914.95105079592,1.8550375818836784
T2_10D,2020,102981.57006935061,105474.54840870456,2.4208004768961233
T2_10D,2021,105474.54840870456,116409.49212584729,10.367376663013328
T2_10D,2022,116409.49212584729,109178.43137343896,-6.211744953402098
T2_10D,2023,109414.41641982568,118247.68368950686,8.07322065840732
T2_10D,2024,118329.63803520998,118293.516429934,-0.030526253503149192
T2_10D,2025,118456.86957934806,117796.15206043866,-0.5577705381339837
T2_10D,2026,118244.26680653241,115699.38520388668,-2.1522240962511874
T2_20D,2016,100000.0,99531.5079081798,-0.468492091820194
T2_20D,2017,99531.5079081798,104105.55165841739,4.595573649358609
T2_20D,2018,104037.6206389929,106381.89188414204,2.2532918676443803
T2_20D,2019,106381.89188414204,105867.17890841309,-0.48383514018486284
T2_20D,2020,105936.8260641748,110104.22966859624,3.9338573367271534
T2_20D,2021,109941.75591371342,119733.69713336101,8.9064806526582
T2_20D,2022,119733.69713336101,108665.39415901327,-9.244100231883523
T2_20D,2023,108901.3792054,114192.45327917958,4.85859234509789
T2_20D,2024,114341.75869910145,117409.9490880913,2.6833507057242523
T2_20D,2025,117527.73534297412,116098.2121249366,-1.216328395902322
