Calibration Year,As Of Date,Calibration Data End Date,Cohort Level,Observations,Eligible,Setup,Market Regime,Technical Band,Actionability Band,T1 Successes,P(T1 Before Stop),T1 Q25,T1 Median,T1 Q75,T2 Successes,P(T2 Before Stop),T2 Q25,T2 Median,T2 Q75,Cohort
2018,2018-01-01,2017-12-19,1,6,False,PULLBACK,BULL,80-89,90-100,1,0.25,21.0,21.0,21.0,1,0.25,34.0,34.0,34.0,PULLBACK|BULL|80-89|90-100
2018,2018-01-01,2017-12-19,1,18,False,PULLBACK,NEUTRAL,70-79,70-79,3,0.2,8.5,9.0,11.0,3,0.2,15.5,16.0,16.5,PULLBACK|NEUTRAL|70-79|70-79
2018,2018-01-01,2017-12-19,1,55,True,PULLBACK,NEUTRAL,70-79,80-89,19,0.3508771929824561,3.5,7.0,9.0,16,0.2982456140350877,7.75,10.0,23.5,PULLBACK|NEUTRAL|70-79|80-89
2018,2018-01-01,2017-12-19,1,15,False,PULLBACK,NEUTRAL,70-79,90-100,2,0.17647058823529413,6.5,7.0,7.5,2,0.17647058823529413,10.25,11.5,12.75,PULLBACK|NEUTRAL|70-79|90-100
2018,2018-01-01,2017-12-19,1,18,False,PULLBACK,NEUTRAL,80-89,80-89,5,0.3,7.0,7.0,8.0,3,0.2,6.5,8.0,9.5,PULLBACK|NEUTRAL|80-89|80-89
2018,2018-01-01,2017-12-19,1,7,False,PULLBACK,NEUTRAL,80-89,90-100,0,0.1111111111111111,,,,0,0.1111111111111111,,,,PULLBACK|NEUTRAL|80-89|90-100
2018,2018-01-01,2017-12-19,1,3,False,PULLBACK,STRONG BULL,70-79,70-79,2,0.6,6.5,9.0,11.5,2,0.6,6.5,9.0,11.5,PULLBACK|STRONG BULL|70-79|70-79
2018,2018-01-01,2017-12-19,1,82,True,PULLBACK,STRONG BULL,70-79,80-89,41,0.5,7.0,10.0,21.0,37,0.4523809523809524,9.0,15.0,21.0,PULLBACK|STRONG BULL|70-79|80-89
2018,2018-01-01,2017-12-19,1,45,True,PULLBACK,STRONG BULL,70-79,90-100,21,0.46808510638297873,8.0,16.0,36.0,17,0.3829787234042553,14.0,20.0,54.0,PULLBACK|STRONG BULL|70-79|90-100
2018,2018-01-01,2017-12-19,1,13,False,PULLBACK,STRONG BULL,80-89,80-89,6,0.4666666666666667,5.0,5.0,5.0,5,0.4,5.0,6.0,6.0,PULLBACK|STRONG BULL|80-89|80-89
2018,2018-01-01,2017-12-19,1,7,False,PULLBACK,STRONG BULL,80-89,90-100,3,0.4444444444444444,7.0,10.0,10.0,2,0.3333333333333333,15.0,16.0,17.0,PULLBACK|STRONG BULL|80-89|90-100
2018,2018-01-01,2017-12-19,2,1,False,BREAKOUT,BULL,,,1,0.6666666666666666,18.0,18.0,18.0,1,0.6666666666666666,63.0,63.0,63.0,BREAKOUT|BULL
2018,2018-01-01,2017-12-19,2,3,False,BREAKOUT,STRONG BULL,,,2,0.6,34.0,38.0,42.0,2,0.6,41.25,45.5,49.75,BREAKOUT|STRONG BULL
2018,2018-01-01,2017-12-19,2,70,True,PULLBACK,BULL,,,21,0.3055555555555556,4.0,12.0,20.0,18,0.2638888888888889,5.75,15.5,34.0,PULLBACK|BULL
2018,2018-01-01,2017-12-19,2,113,True,PULLBACK,NEUTRAL,,,29,0.2608695652173913,4.0,8.0,9.0,24,0.21739130434782608,8.0,10.5,16.25,PULLBACK|NEUTRAL
2018,2018-01-01,2017-12-19,2,150,True,PULLBACK,STRONG BULL,,,73,0.4868421052631579,6.0,10.0,26.0,63,0.42105263157894735,9.0,15.0,23.5,PULLBACK|STRONG BULL
2018,2018-01-01,2017-12-19,3,4,False,BREAKOUT,,,,3,0.6666666666666666,24.0,30.0,38.0,3,0.6666666666666666,45.5,54.0,58.5,BREAKOUT
2018,2018-01-01,2017-12-19,3,333,True,PULLBACK,,,,123,0.3701492537313433,6.0,9.0,17.5,105,0.3164179104477612,8.0,14.0,26.0,PULLBACK
2018,2018-01-01,2017-12-19,4,337,True,,,,,126,0.3746312684365782,6.0,9.0,18.0,108,0.3215339233038348,8.75,14.5,27.0,OVERALL
2019,2019-01-01,2018-12-11,1,2,False,BREAKOUT,BULL,80-89,80-89,2,0.75,20.0,22.0,24.0,2,0.75,43.5,50.0,56.5,BREAKOUT|BULL|80-89|80-89
2019,2019-01-01,2018-12-11,1,1,False,BREAKOUT,STRONG BULL,70-79,80-89,0,0.3333333333333333,,,,0,0.3333333333333333,,,,BREAKOUT|STRONG BULL|70-79|80-89
2019,2019-01-01,2018-12-11,1,1,False,BREAKOUT,STRONG BULL,70-79,90-100,1,0.6666666666666666,30.0,30.0,30.0,1,0.6666666666666666,37.0,37.0,37.0,BREAKOUT|STRONG BULL|70-79|90-100
2019,2019-01-01,2018-12-11,1,3,False,BREAKOUT,STRONG BULL,80-89,80-89,2,0.6,18.25,27.5,36.75,1,0.4,54.0,54.0,54.0,BREAKOUT|STRONG BULL|80-89|80-89
2019,2019-01-01,2018-12-11,1,14,False,PULLBACK,BULL,70-79,70-79,4,0.3125,7.75,10.5,14.0,4,0.3125,8.75,13.0,21.75,PULLBACK|BULL|70-79|70-79
2019,2019-01-01,2018-12-11,1,46,True,PULLBACK,BULL,70-79,80-89,19,0.4166666666666667,5.0,8.0,12.0,18,0.3958333333333333,5.5,10.0,24.25,PULLBACK|BULL|70-79|80-89
2019,2019-01-01,2018-12-11,1,16,False,PULLBACK,BULL,70-79,90-100,5,0.3333333333333333,11.0,12.0,19.0,3,0.2222222222222222,10.0,12.0,19.0,PULLBACK|BULL|70-79|90-100
2019,2019-01-01,2018-12-11,1,1,False,PULLBACK,BULL,80-89,70-79,1,0.6666666666666666,11.0,11.0,11.0,0,0.3333333333333333,,,,PULLBACK|BULL|80-89|70-79
2019,2019-01-01,2018-12-11,1,6,False,PULLBACK,BULL,80-89,80-89,2,0.375,12.0,15.0,18.0,1,0.25,9.0,9.0,9.0,PULLBACK|BULL|80-89|80-89
2019,2019-01-01,2018-12-11,1,6,False,PULLBACK,BULL,80-89,90-100,1,0.25,21.0,21.0,21.0,1,0.25,34.0,34.0,34.0,PULLBACK|BULL|80-89|90-100
2019,2019-01-01,2018-12-11,1,23,False,PULLBACK,NEUTRAL,70-79,70-79,3,0.16,8.5,9.0,11.0,3,0.16,15.5,16.0,16.5,PULLBACK|NEUTRAL|70-79|70-79
2019,2019-01-01,2018-12-11,1,72,True,PULLBACK,NEUTRAL,70-79,80-89,24,0.33783783783783783,4.0,9.0,11.25,21,0.2972972972972973,10.0,13.0,30.0,PULLBACK|NEUTRAL|70-79|80-89
2019,2019-01-01,2018-12-11,1,16,False,PULLBACK,NEUTRAL,70-79,90-100,2,0.16666666666666666,6.5,7.0,7.5,2,0.16666666666666666,10.25,11.5,12.75,PULLBACK|NEUTRAL|70-79|90-100
2019,2019-01-01,2018-12-11,1,20,False,PULLBACK,NEUTRAL,80-89,80-89,5,0.2727272727272727,7.0,7.0,8.0,3,0.18181818181818182,6.5,8.0,9.5,PULLBACK|NEUTRAL|80-89|80-89
2019,2019-01-01,2018-12-11,1,7,False,PULLBACK,NEUTRAL,80-89,90-100,0,0.1111111111111111,,,,0,0.1111111111111111,,,,PULLBACK|NEUTRAL|80-89|90-100
2019,2019-01-01,2018-12-11,1,3,False,PULLBACK,STRONG BULL,70-79,70-79,2,0.6,6.5,9.0,11.5,2,0.6,6.5,9.0,11.5,PULLBACK|STRONG BULL|70-79|70-79
2019,2019-01-01,2018-12-11,1,91,True,PULLBACK,STRONG BULL,70-79,80-89,45,0.4946236559139785,7.0,11.0,21.0,40,0.44086021505376344,9.0,15.0,21.0,PULLBACK|STRONG BULL|70-79|80-89
2019,2019-01-01,2018-12-11,1,53,True,PULLBACK,STRONG BULL,70-79,90-100,24,0.45454545454545453,8.75,20.0,34.5,20,0.38181818181818183,14.75,21.5,53.25,PULLBACK|STRONG BULL|70-79|90-100
2019,2019-01-01,2018-12-11,1,15,False,PULLBACK,STRONG BULL,80-89,80-89,7,0.47058823529411764,5.0,5.0,5.5,6,0.4117647058823529,5.25,6.0,11.25,PULLBACK|STRONG BULL|80-89|80-89
